地区,粮食总产量,秋粮总产量,夏粮总产量,稻谷,小麦,豆类,马铃薯,早稻,中稻和一季晚稻,双季晚稻,玉米,高粱,大豆,秋薯
湖北省,27274372,4719557,4006647,25076,660353,22554815,18643380,682914,16873451,1087015,3115431,18199,355403,402988
武汉市,895956,29992,27254,361,2190,865964,768512,86208,569974,112330,72733,67,14539,8568
  武汉市市辖区,38124,1872,1854,18,,36252,19808,143,19325,341,11551,,4312,514
  蔡甸区,114869,5890,5146,170,485,108979,74119,613,73036,470,30397,,3055,778
  江夏区,200137,1736,1616,,120,198401,167327,17952,119546,29829,26638,,2155,1790
  黄陂区,315747,6565,5529,36,902,309181,300083,31335,233905,34843,3338,67,2325,3190
  新洲区,227079,13929,13110,136,683,213150,207174,36165,124162,46846,810,,2693,2297
黄石市,512899,28891,21893,283,6669,484007,436433,11794,392764,31875,30250,771,3967,12467
  黄石市市辖区,3890,324,247,5,72,3565,3117,323,2393,401,342,,21,74
  大冶市,246122,12759,9473,42,3225,233364,213485,10134,188114,15238,12547,335,1608,5344
  阳新县,262887,15808,12174,235,3372,247078,219830,1337,202257,16237,17361,435,2338,7049
十堰市,823829,237050,164631,8304,63487,586779,191771,,191771,,299766,2809,25410,61860
  茅箭区,1199,345,240,,105,854,84,,84,,700,,69,
  张湾区,1634,508,286,,222,1126,160,,160,,902,,63,
  郧阳区,202839,80141,73212,1119,5809,122699,22009,,22009,,83532,,2840,13349
  竹山县,149036,32859,17222,2281,13355,116177,42355,,42355,,53773,532,7317,10952
  竹溪县,148710,35829,10868,3262,21110,112881,42976,,42976,,45658,849,6706,15269
  郧西县,121672,45742,32006,1199,12537,75930,16065,,16065,,41727,509,4566,12183
  房县,107642,13494,5895,73,7484,94149,38647,,38647,,51268,597,2606,712
  丹江口市,91096,28132,24900,369,2864,62964,29476,,29476,,22205,322,1243,9396
宜昌市,1510818,277757,133189,3223,133931,1233061,650216,7566,632222,10428,512273,,17604,52010
  宜昌市市辖区,13872,584,80,156,347,13288,892,,892,,7573,,102,4719
  夷陵区,202583,31438,93,625,30426,171145,78155,,78155,,80144,,2658,10099
  当阳市,462735,71974,62795,151,4738,390761,277270,,277270,,98768,,3329,11116
  枝江市,317683,69050,59942,851,6351,248633,182435,7566,164441,10428,57867,,4484,3812
  宜都市,97110,14524,1540,284,12700,82586,35302,,35302,,36729,,548,9727
  远安县,80018,6971,2517,266,3283,73047,52565,,52565,,18129,,299,2042
  兴山县,52385,12328,253,430,11645,40057,7576,,7576,,31379,,898,185
  秭归县,83547,15878,3386,118,12374,67669,7954,,7954,,58090,,1262,363
  长阳土家族自治县,106430,23389,2143,134,21094,83041,7389,,7389,,71011,,2110,2304
  五峰土家族自治县,94456,31621,440,209,30972,62835,677,,677,,52583,,1914,7644
襄阳市,4724346,1930810,1861087,1754,64223,2793536,1862496,,1862496,,893814,4511,9433,22607
  襄阳市市辖区,339089,116856,116697,160,,222233,176998,,176998,,44602,49,341,239
  襄州区,1265664,597350,583968,393,11585,668314,390860,,390860,,266647,4305,1504,4975
  南漳县,439202,140351,130039,,9952,298852,226824,,226824,,69277,25,665,2020
  谷城县,269634,83400,76985,400,6015,186234,149161,,149161,,33525,,1407,1895
  老河口市,350933,164839,163223,235,1381,186094,94595,,94595,,90123,51,1107,119
  枣阳市,1262883,546833,537074,83,7926,716050,462579,,462579,,248563,81,952,3752
  宜城市,662132,240062,232405,242,7216,422070,341030,,341030,,75421,,922,4697
  保康县,134809,41119,20696,242,20148,93690,20448,,20448,,65656,,2536,4909
鄂州市,245506,16190,14723,46,1239,229316,209119,3952,187809,17358,4600,5063,4487,4698
荆门市,2867955,400880,394170,675,5800,2467074,2187307,16170,2135904,35233,225713,,46795,7067
  荆门市市辖区,317523,15130,14170,220,740,302393,281737,,281737,,19704,,574,378
  京山市,700720,110058,107400,298,2360,590661,514228,14000,467611,32617,64820,,8349,3117
  沙洋县,895228,87756,86900,156,700,807472,779242,2170,774456,2616,18989,,8592,604
  钟祥市,954484,187936,185700,,2000,766548,612100,,612100,,122200,,29280,2968
孝感市,2327138,242252,232068,654,9178,2084886,2018158,14925,1967993,35240,54397,538,8388,2743
  孝南区,238252,10929,10524,67,338,227323,224394,1670,220040,2684,2490,,412,22
  孝昌县,253343,24712,23510,22,1180,228631,223756,2879,208311,12566,2771,,1177,586
  大悟县,287165,29809,27136,155,2166,257357,253526,151,253162,214,1007,538,1278,956
  云梦县,243543,23808,20321,199,3288,219735,208471,2522,198343,7605,9830,,928,389
  应城市,345901,20860,20652,13,195,325041,319201,3608,311186,4407,3440,,1928,437
  安陆市,437876,53186,52073,15,1098,384689,377286,,377286,,6468,,794,142
  汉川市,521058,78949,77852,184,913,442110,411524,4096,399665,7763,28390,,1871,210
荆州市,4498242,518199,504436,2998,2835,3980042,3746670,175606,3284171,286893,150153,225,78166,4324
  荆州市市辖区,407860,45217,44014,339,663,362643,329681,578,328175,929,26263,,5613,933
  公安县,875455,134153,129731,440,497,741302,703402,32127,612885,58390,15230,81,21717,696
  监利市,1261200,51127,49191,1484,434,1210073,1191906,91761,946067,154078,3564,,14090,488
  江陵县,507353,114104,113909,14,133,393249,385309,1948,378849,4511,1591,,6248,101
  石首市,299162,34159,33777,154,158,265003,239184,6163,223638,9383,6899,,18610,308
  洪湖市,638233,57282,56553,519,210,580951,559369,34524,479642,45203,11308,144,9952,145
  松滋市,508980,82157,77261,48,740,426823,337819,8505,314914,14400,85298,,1937,1654
黄冈市,2691075,145232,112506,288,31925,2545843,2434639,221838,1876771,336030,42953,549,26005,39096
  黄州区,31426,8562,8402,,160,22864,19711,213,19000,497,2279,,744,130
  团风县,109793,5802,5023,21,758,103991,102199,5672,87786,8741,424,,557,650
  红安县,179344,6649,4669,,1980,172695,158431,18279,116695,23457,1758,,1567,10939
  罗田县,258360,27685,26182,128,1287,230675,211731,2397,205762,3572,8030,184,5338,5183
  英山县,105422,13513,7563,,5950,91909,82590,2489,76337,3764,5091,,1308,2890
  浠水县,410915,9859,3710,,6149,401056,393113,51749,261046,80318,4529,,1607,1450
  蕲春县,451826,11775,2158,81,9111,440051,428243,93608,194193,140443,2244,365,2896,5623
  黄梅县,456432,25994,24290,45,1659,430438,408095,13017,370048,25030,10619,,6926,3985
  麻城市,361047,19586,16480,,3106,341461,328477,20910,280901,26666,5156,,2462,5050
  武穴市,326511,15806,14029,12,1765,310705,302048,13504,265003,23542,2824,,2601,3196
咸宁市,1168291,38861,17117,1498,19790,1129431,994701,118700,703300,172701,73116,,13172,46647
  咸安区,221073,4825,721,912,3192,216248,195630,9600,171730,14300,11900,,2167,6045
  嘉鱼县,176059,10525,9511,49,965,165534,144052,8400,119500,16152,19100,,1434,700
  通城县,164555,4658,769,170,3720,159897,146501,37700,58900,49901,3850,,2762,6249
  崇阳县,214717,7728,3350,181,3742,206989,169568,29900,94970,44698,17516,,3079,16700
  赤壁市,275536,7073,1717,84,5272,268463,261650,31600,184600,45450,3200,,2087,1458
  通山县,116350,4051,1050,102,2900,112299,77300,1500,73600,2200,17550,,1643,15495
随州市,1461663,215646,191504,541,22763,1246017,1168089,,1168089,,67615,,2579,7244
  曾都区,264279,44037,39605,154,4139,220242,204260,,204260,,14431,,244,1180
  随县,819271,146288,129342,189,16239,672982,635338,,635338,,36538,,921,177
  广水市,378113,25321,22557,198,2385,352792,328490,,328490,,16646,,1413,5887
恩施土家族苗族自治州,1441185,290376,4876,4113,279878,1150809,383205,,383205,,598173,2977,36731,126777
  恩施市,205572,54953,80,1081,53758,150619,24875,,24875,,99228,2430,7880,15646
  利川市,313427,52723,302,1020,51401,260704,135097,,135097,,106364,,7694,10883
  建始县,204242,49885,40,439,48000,154357,27960,,27960,,108921,,4269,12853
  巴东县,200983,52028,4453,1162,46343,148955,14651,,14651,,108748,547,4655,19785
  咸丰县,198195,32777,,77,32700,165418,63005,,63005,,70228,,5763,26085
  宣恩县,117678,18171,,64,18106,99507,45470,,45470,,37275,,3239,13398
  来凤县,130612,12359,,257,12102,118253,66059,,66059,,27732,,2352,21776
  鹤峰县,70476,17481,,12,17469,52995,6090,,6090,,39679,,877,6350
仙桃市,697406,79015,74100,,2025,618392,542566,,542566,,58281,,14933,2348
潜江市,590036,87622,84095,157,3276,502414,475798,39,475758,,10229,106,15339,934
天门市,800600,175642,168300,159,7100,624958,573625,26116,498582,48927,13453,,37349,500
神农架林区,17428,5142,699,25,4044,12287,77,,77,,7912,581,505,3100
